Date,Open,High,Low,Close,Adj Close,Volume,Index,Label
2018-03-02,10977,11189,10850,11086,11086,7620590080,47,Neutral
2018-03-03,11102,11528,11002,11490,11490,6690570240,56,Greed
2018-03-04,11497,11513,11136,11513,11513,6084149760,44,Fear
2018-03-05,11532,11704,11444,11573,11573,6468539904,55,Greed
2018-03-06,11500,11500,10694,10780,10780,6832169984,59,Greed
2018-03-07,10804,10930,9692,9966,9966,8797910016,37,Fear
2018-03-08,9951,10147,9336,9395,9395,7186089984,39,Fear
2018-03-09,9415,9466,8513,9338,9338,8704190464,37,Fear
2018-03-10,9351,9531,8828,8866,8866,5386319872,39,Fear
2018-03-11,8853,9712,8607,9579,9579,6296370176,40,Fear
2018-03-12,9603,9938,8956,9205,9205,6457399808,41,Fear
2018-03-13,9173,9470,8958,9195,9195,5991139840,41,Fear
2018-03-14,9215,9356,8069,8270,8270,6438230016,40,Fear
2018-03-15,8291,8428,7783,8301,8301,6834429952,32,Fear
2018-03-16,8323,8585,8005,8338,8338,5289379840,33,Fear
2018-03-17,8322,8347,7813,7917,7917,4426149888,31,Fear
2018-03-18,7891,8246,7398,8224,8224,6639190016,29,Fear
2018-03-19,8344,8676,8182,8631,8631,6729110016,29,Fear
2018-03-20,8620,9051,8390,8913,8913,6361789952,37,Fear
2018-03-21,8937,9177,8846,8929,8929,6043129856,36,Fear
2018-03-22,8939,9101,8565,8728,8728,5530390016,36,Fear
2018-03-23,8736,8880,8361,8880,8880,5954120192,28,Fear
2018-03-24,8902,8996,8666,8668,8668,5664600064,32,Fear
2018-03-25,8613,8682,8449,8496,8496,4569880064,30,Fear
2018-03-26,8498,8530,7921,8209,8209,5921039872,31,Fear
2018-03-27,8200,8233,7797,7833,7833,5378250240,24,Extreme Fear
2018-03-28,7837,8123,7809,7954,7954,4935289856,24,Extreme Fear
2018-03-29,7979,7994,7081,7166,7166,6361229824,18,Extreme Fear
2018-03-30,7171,7277,6684,6891,6891,6289509888,12,Extreme Fear
2018-03-31,6892,7208,6864,6974,6974,4553269760,16,Extreme Fear
2018-04-01,7003,7061,6527,6844,6844,4532100096,16,Extreme Fear
2018-04-02,6845,7135,6817,7084,7084,4333440000,11,Extreme Fear
2018-04-03,7102,7531,7072,7456,7456,5499700224,22,Extreme Fear
2018-04-04,7456,7470,6804,6854,6854,4936000000,22,Extreme Fear
2018-04-05,6849,6934,6645,6811,6811,5639320064,17,Extreme Fear
2018-04-06,6816,6857,6575,6636,6636,3766810112,19,Extreme Fear
2018-04-07,6631,7051,6631,6911,6911,3976610048,20,Extreme Fear
2018-04-08,6920,7112,6920,7024,7024,3652499968,17,Extreme Fear
2018-04-09,7044,7178,6662,6771,6771,4894060032,21,Extreme Fear
2018-04-10,6795,6872,6704,6835,6835,4272750080,18,Extreme Fear
2018-04-11,6843,6968,6818,6968,6968,4641889792,20,Extreme Fear
2018-04-12,6955,7899,6807,7889,7889,8906250240,18,Extreme Fear
2018-04-13,7901,8184,7759,7896,7896,7764460032,23,Extreme Fear
2018-04-14,7875,8141,7846,7986,7986,5191430144,25,Extreme Fear
2018-04-15,7999,8338,7999,8329,8329,5244480000,20,Extreme Fear
2018-04-16,8338,8371,7926,8059,8059,5631309824,27,Fear
2018-04-17,8072,8286,7882,7902,7902,6900879872,26,Fear
2018-04-18,7944,8198,7886,8163,8163,6529909760,24,Extreme Fear
2018-04-19,8159,8299,8139,8294,8294,7063209984,25,Extreme Fear
2018-04-20,8287,8880,8245,8846,8846,8438110208,26,Fear
2018-04-21,8849,8998,8652,8896,8896,7548550144,32,Fear
2018-04-22,8925,9002,8780,8802,8802,6629899776,31,Fear
2018-04-23,8794,8959,8789,8931,8931,6925190144,28,Fear
2018-04-24,8934,9733,8928,9698,9698,10678800384,29,Fear
2018-04-25,9701,9745,8800,8846,8846,11083100160,64,Greed
2018-04-26,8867,9282,8727,9282,9282,8970559488,47,Neutral
2018-04-27,9291,9375,8987,8987,8987,7566289920,55,Greed
2018-04-28,8939,9412,8932,9348,9348,7805479936,54,Neutral
2018-04-29,9346,9531,9194,9419,9419,8853000192,61,Greed
2018-04-30,9426,9477,9167,9241,9241,8673920000,59,Greed
2018-05-01,9251,9256,8891,9119,9119,7713019904,56,Greed
2018-05-02,9105,9257,9015,9236,9236,7558159872,52,Neutral
2018-05-03,9234,9798,9188,9744,9744,10207299584,55,Greed
2018-05-04,9696,9779,9586,9701,9701,8217829888,56,Greed
2018-05-05,9700,9965,9695,9858,9858,7651939840,63,Greed
2018-05-06,9845,9940,9465,9655,9655,7222280192,67,Greed
2018-05-07,9646,9666,9232,9373,9373,7394019840,56,Greed
2018-05-08,9381,9463,9128,9235,9235,7415869952,62,Greed
2018-05-09,9224,9375,9032,9325,9325,7226890240,53,Neutral
2018-05-10,9326,9396,9041,9044,9044,6906699776,63,Greed
2018-05-11,9053,9053,8394,8441,8441,8488520192,41,Fear
2018-05-12,8441,8665,8224,8505,8505,6821380096,44,Fear
2018-05-13,8515,8774,8395,8724,8724,5866379776,40,Fear
2018-05-14,8713,8881,8368,8717,8717,7364149760,40,Fear
2018-05-15,8705,8836,8456,8510,8510,6705710080,40,Fear
2018-05-16,8504,8508,8175,8369,8369,6760220160,32,Fear
2018-05-17,8370,8446,8054,8094,8094,5862530048,31,Fear
2018-05-18,8092,8274,7975,8251,8251,5764190208,37,Fear
2018-05-19,8256,8372,8183,8247,8247,4712399872,31,Fear
2018-05-20,8247,8562,8205,8513,8513,5191059968,32,Fear
2018-05-21,8522,8558,8365,8419,8419,5154990080,41,Fear
2018-05-22,8420,8423,8005,8042,8042,5137010176,30,Fear
2018-05-23,8037,8055,7508,7558,7558,6491120128,26,Fear
2018-05-24,7561,7739,7331,7587,7587,6049220096,27,Fear
2018-05-25,7592,7659,7393,7480,7480,4867829760,25,Extreme Fear
2018-05-26,7486,7595,7349,7356,7356,4051539968,23,Extreme Fear
2018-05-27,7362,7382,7271,7368,7368,4056519936,19,Extreme Fear
2018-05-28,7371,7419,7101,7136,7136,5040600064,22,Extreme Fear
2018-05-29,7129,7526,7091,7473,7473,5662660096,16,Extreme Fear
2018-05-30,7470,7574,7314,7407,7407,4922540032,38,Fear
2018-05-31,7406,7609,7361,7494,7494,5127130112,25,Extreme Fear
2018-06-01,7501,7605,7407,7541,7541,4921460224,24,Extreme Fear
2018-06-02,7537,7696,7497,7643,7643,4939299840,27,Fear
2018-06-03,7632,7755,7613,7720,7720,4851760128,40,Fear
2018-06-04,7723,7754,7474,7514,7514,4993169920,41,Fear
2018-06-05,7501,7643,7397,7634,7634,4961739776,26,Fear
2018-06-06,7626,7680,7502,7654,7654,4692259840,42,Fear
2018-06-07,7651,7741,7651,7678,7678,4485799936,38,Fear
2018-06-08,7685,7698,7558,7625,7625,4227579904,40,Fear
2018-06-09,7633,7684,7532,7532,7532,3845220096,39,Fear
2018-06-10,7500,7500,6709,6786,6786,5804839936,24,Extreme Fear
2018-06-11,6799,6910,6707,6907,6907,4745269760,15,Extreme Fear
2018-06-12,6906,6908,6542,6582,6582,4654380032,19,Extreme Fear
2018-06-13,6597,6632,6286,6350,6350,5052349952,19,Extreme Fear
2018-06-14,6343,6707,6334,6675,6675,5138710016,17,Extreme Fear
2018-06-15,6674,6681,6434,6457,6457,3955389952,26,Fear
2018-06-16,6455,6592,6402,6550,6550,3194170112,22,Extreme Fear
2018-06-17,6546,6589,6499,6499,6499,3104019968,23,Extreme Fear
2018-06-18,6510,6781,6447,6735,6735,4039200000,27,Fear
2018-06-19,6742,6823,6710,6770,6770,4057029888,32,Fear
2018-06-20,6771,6822,6612,6777,6777,3888640000,34,Fear
2018-06-21,6780,6811,6715,6730,6730,3529129984,37,Fear
2018-06-22,6738,6747,6007,6084,6084,5079810048,28,Fear
2018-06-23,6090,6225,6072,6162,6162,3431360000,17,Extreme Fear
2018-06-24,6164,6224,5826,6173,6173,4566909952,15,Extreme Fear
2018-06-25,6172,6327,6120,6249,6249,5500810240,16,Extreme Fear
2018-06-26,6254,6290,6094,6094,6094,3279759872,21,Extreme Fear
2018-06-27,6084,6180,6053,6157,6157,3296219904,18,Extreme Fear
2018-06-28,6153,6170,5873,5903,5903,3467800064,20,Extreme Fear
2018-06-29,5898,6262,5836,6218,6218,3966230016,16,Extreme Fear
2018-06-30,6214,6466,6214,6404,6404,4543860224,22,Extreme Fear
2018-07-01,6412,6433,6289,6386,6386,4788259840,27,Fear
2018-07-02,6380,6684,6306,6614,6614,4396930048,27,Fear
2018-07-03,6597,6671,6448,6530,6530,4672309760,31,Fear
2018-07-04,6551,6772,6450,6598,6598,4176689920,33,Fear
2018-07-05,6600,6750,6547,6639,6639,4999240192,37,Fear
2018-07-06,6639,6701,6534,6674,6674,4313959936,34,Fear
2018-07-07,6669,6864,6579,6857,6857,3961080064,34,Fear
2018-07-08,6858,6886,6748,6774,6774,3386210048,38,Fear
2018-07-09,6775,6839,6724,6742,6742,3718129920,39,Fear
2018-07-10,6739,6768,6321,6330,6330,4052430080,37,Fear
2018-07-11,6331,6445,6330,6395,6395,3644859904,29,Fear
2018-07-12,6397,6397,6136,6229,6229,3770170112,33,Fear
2018-07-13,6235,6311,6192,6238,6238,3805400064,29,Fear
2018-07-14,6248,6298,6212,6276,6276,2923670016,29,Fear
2018-07-15,6273,6403,6257,6360,6360,3285459968,32,Fear
2018-07-16,6357,6742,6357,6742,6742,4725799936,36,Fear
2018-07-17,6740,7387,6684,7321,7321,5961950208,39,Fear
2018-07-18,7315,7535,7280,7371,7371,6103410176,42,Fear
2018-07-19,7378,7494,7295,7467,7467,5111629824,44,Fear
2018-07-20,7467,7595,7323,7354,7354,4936869888,47,Neutral
2018-07-21,7353,7438,7262,7419,7419,3726609920,43,Fear
2018-07-22,7418,7538,7384,7418,7418,3695460096,46,Fear
2018-07-23,7415,7772,7409,7711,7711,5132480000,44,Fear
2018-07-24,7717,8424,7706,8424,8424,7277689856,49,Neutral
2018-07-25,8380,8417,8086,8181,8181,5845400064,54,Neutral
2018-07-26,8177,8290,7879,7952,7952,4899089920,53,Neutral
2018-07-27,7950,8263,7840,8165,8165,5195879936,47,Neutral
2018-07-28,8169,8223,8111,8192,8192,3988750080,54,Neutral
2018-07-29,8206,8272,8141,8218,8218,4107190016,54,Neutral
2018-07-30,8222,8236,7918,8180,8180,5551400000,53,Neutral
2018-07-31,8181,8182,7697,7780,7780,5287530000,48,Neutral
2018-08-01,7769,7769,7505,7625,7625,4797620000,39,Fear
2018-08-02,7634,7713,7523,7567,7567,4214110000,39,Fear
2018-08-03,7562,7562,7329,7434,7434,4627150000,36,Fear
2018-08-04,7439,7497,6984,7033,7033,4268390000,31,Fear
2018-08-05,7031,7103,6941,7068,7068,3679110000,23,Extreme Fear
2018-08-06,7063,7167,6891,6952,6952,3925900000,25,Extreme Fear
2018-08-07,6958,7147,6748,6753,6753,4682800000,25,Extreme Fear
2018-08-08,6747,6747,6226,6306,6306,5064430000,23,Extreme Fear
2018-08-09,6306,6626,6249,6568,6568,4267040000,19,Extreme Fear
2018-08-10,6571,6591,6125,6185,6185,4528680000,21,Extreme Fear
2018-08-11,6186,6456,6109,6296,6296,4047850000,18,Extreme Fear
2018-08-12,6284,6410,6238,6323,6323,5665250000,18,Extreme Fear
2018-08-13,6341,6537,6226,6298,6298,4083980000,21,Extreme Fear
2018-08-14,6288,6288,5971,6200,6200,5301700000,16,Extreme Fear
2018-08-15,6221,6588,6221,6309,6309,4895450000,18,Extreme Fear
2018-08-16,6294,6474,6276,6335,6335,4328420000,21,Extreme Fear
2018-08-17,6341,6583,6325,6581,6581,4992990000,19,Extreme Fear
2018-08-18,6583,6617,6354,6424,6424,3984520000,24,Extreme Fear
2018-08-19,6423,6538,6362,6506,6506,3311170000,27,Fear
2018-08-20,6501,6537,6298,6309,6309,3665100000,26,Fear
2018-08-21,6301,6501,6298,6489,6489,3377180000,19,Extreme Fear
2018-08-22,6486,6817,6310,6377,6377,4668110000,21,Extreme Fear
2018-08-23,6371,6547,6371,6535,6535,3426180000,18,Extreme Fear
2018-08-24,6552,6720,6499,6720,6720,4097820000,19,Extreme Fear
2018-08-25,6720,6790,6701,6763,6763,3312600000,22,Extreme Fear
2018-08-26,6755,6775,6621,6707,6707,3295500000,19,Extreme Fear
2018-08-27,6711,6885,6690,6885,6885,4019000000,18,Extreme Fear
2018-08-28,6891,7110,6882,7096,7096,4659940000,19,Extreme Fear
2018-08-29,7092,7113,6971,7047,7047,4145880000,19,Extreme Fear
2018-08-30,7044,7073,6835,6978,6978,4463250000,22,Extreme Fear
2018-08-31,6974,7057,6920,7038,7038,4495650000,17,Extreme Fear
2018-09-01,7045,7242,7038,7193,7193,4116050000,21,Extreme Fear
2018-09-02,7190,7306,7132,7273,7273,4329540000,18,Extreme Fear
2018-09-03,7279,7318,7208,7260,7260,4087760000,19,Extreme Fear
2018-09-04,7263,7388,7255,7362,7362,4273640000,26,Fear
2018-09-05,7361,7388,6793,6793,6793,5800460000,17,Extreme Fear
2018-09-06,6755,6755,6405,6529,6529,5523470000,14,Extreme Fear
2018-09-07,6529,6555,6397,6467,6467,4264680000,17,Extreme Fear
2018-09-08,6460,6534,6198,6226,6226,3835060000,18,Extreme Fear
2018-09-09,6223,6446,6201,6301,6301,3671890000,13,Extreme Fear
2018-09-10,6302,6375,6293,6330,6330,3714100000,15,Extreme Fear
2018-09-11,6332,6399,6260,6321,6321,3849910000,18,Extreme Fear
2018-09-12,6317,6364,6265,6352,6352,4064230000,14,Extreme Fear
2018-09-13,6354,6535,6354,6517,6517,4210910000,20,Extreme Fear
2018-09-14,6515,6596,6456,6513,6513,4076220000,23,Extreme Fear
2018-09-15,6509,6562,6494,6543,6543,3216300000,24,Extreme Fear
2018-09-16,6537,6544,6460,6517,6517,3273730000,28,Fear
2018-09-17,6514,6540,6258,6281,6281,3910780000,25,Extreme Fear
2018-09-18,6281,6384,6266,6371,6371,4180090000,21,Extreme Fear
2018-09-19,6372,6448,6208,6399,6399,4431340000,24,Extreme Fear
2018-09-20,6399,6529,6396,6520,6520,4348110000,24,Extreme Fear
2018-09-21,6514,6794,6496,6735,6735,6531940000,31,Fear
2018-09-22,6735,6815,6617,6722,6722,4509660000,35,Fear
2018-09-23,6715,6766,6679,6711,6711,4197500000,38,Fear
2018-09-24,6705,6714,6581,6595,6595,4177310000,43,Fear
2018-09-25,6604,6604,6382,6446,6446,4726180000,37,Fear
2018-09-26,6453,6586,6398,6495,6495,4437300000,37,Fear
2018-09-27,6495,6712,6465,6677,6677,4606810000,42,Fear
2018-09-28,6679,6785,6598,6644,6644,5014430000,42,Fear
2018-09-29,6643,6643,6512,6602,6602,4363690000,37,Fear
2018-09-30,6605,6644,6567,6626,6626,4002280000,34,Fear
2018-10-01,6620,6653,6549,6590,6590,4000970000,35,Fear
2018-10-02,6593,6612,6538,6556,6556,3979260000,33,Fear
2018-10-03,6554,6571,6454,6503,6503,3887310000,36,Fear
2018-10-04,6498,6603,6498,6577,6577,3838410000,29,Fear
2018-10-05,6574,6624,6557,6622,6622,3671500000,37,Fear
2018-10-06,6622,6629,6578,6588,6588,3259740000,34,Fear
2018-10-07,6591,6641,6557,6603,6603,3306630000,29,Fear
2018-10-08,6600,6675,6576,6652,6652,3979460000,26,Fear
2018-10-09,6653,6661,6607,6643,6643,3580810000,31,Fear
2018-10-10,6640,6640,6539,6586,6586,3787650000,28,Fear
2018-10-11,6587,6587,6244,6256,6256,5181640000,19,Extreme Fear
2018-10-12,6239,6329,6236,6275,6275,3783500000,13,Extreme Fear
2018-10-13,6278,6309,6260,6286,6286,3064030000,15,Extreme Fear
2018-10-14,6288,6363,6280,6291,6291,3085320000,18,Extreme Fear
2018-10-15,6293,6965,6259,6597,6597,7370770000,20,Extreme Fear
2018-10-16,6601,6674,6571,6596,6596,4074800000,24,Extreme Fear
2018-10-17,6591,6601,6517,6544,6544,4088420000,23,Extreme Fear
2018-10-18,6542,6568,6450,6477,6477,3924080000,26,Fear
2018-10-19,6478,6494,6445,6465,6465,3578870000,24,Extreme Fear
2018-10-20,6461,6498,6449,6489,6489,3379130000,21,Extreme Fear
2018-10-21,6490,6556,6476,6482,6482,3253610000,21,Extreme Fear
2018-10-22,6486,6544,6463,6487,6487,3672860000,27,Fear
2018-10-23,6472,6506,6451,6476,6476,3716150000,24,Extreme Fear
2018-10-24,6479,6522,6469,6496,6496,3424670000,23,Extreme Fear
2018-10-25,6485,6505,6447,6476,6476,3230550000,25,Extreme Fear
2018-10-26,6468,6498,6450,6475,6475,3306050000,29,Fear
2018-10-27,6481,6507,6454,6480,6480,3393250000,33,Fear
2018-10-28,6483,6502,6448,6486,6486,3445190000,35,Fear
2018-10-29,6492,6504,6307,6333,6333,4199910000,34,Fear
2018-10-30,6337,6365,6310,6334,6334,3781100000,31,Fear
2018-10-31,6337,6349,6317,6318,6318,4191240000,32,Fear
2018-11-01,6318,6547,6312,6378,6378,3789400000,29,Fear
2018-11-02,6379,6397,6327,6388,6388,4234870000,36,Fear
2018-11-03,6387,6400,6342,6361,6361,3658640000,36,Fear
2018-11-04,6365,6389,6295,6376,6376,4390020000,41,Fear
2018-11-05,6364,6481,6364,6420,6420,4174800000,42,Fear
2018-11-06,6433,6464,6408,6461,6461,4700040000,42,Fear
2018-11-07,6469,6552,6468,6530,6530,4941260000,48,Neutral
2018-11-08,6522,6537,6439,6454,6454,4665260000,51,Neutral
2018-11-09,6443,6456,6373,6386,6386,4346820000,47,Neutral
2018-11-10,6386,6437,6385,6409,6409,3705320000,52,Neutral
2018-11-11,6414,6423,6350,6411,6411,3939060000,54,Neutral
2018-11-12,6412,6434,6360,6371,6371,4295770000,52,Neutral
2018-11-13,6373,6395,6343,6359,6359,4503800000,56,Greed
2018-11-14,6351,6372,5544,5738,5738,7398940000,49,Neutral
2018-11-15,5736,5775,5358,5648,5648,7032140000,28,Fear
2018-11-16,5645,5657,5499,5576,5576,5279320000,23,Extreme Fear
2018-11-17,5579,5579,5520,5554,5554,4303150000,24,Extreme Fear
2018-11-18,5560,5654,5560,5624,5624,4159680000,26,Fear
2018-11-19,5621,5621,4843,4871,4871,7039560000,28,Fear
2018-11-20,4864,4952,4272,4452,4452,8428290000,21,Extreme Fear
2018-11-21,4466,4676,4344,4602,4602,6120120000,15,Extreme Fear
2018-11-22,4612,4630,4366,4366,4366,4569370000,14,Extreme Fear
2018-11-23,4361,4396,4196,4347,4347,4871490000,12,Extreme Fear
2018-11-24,4348,4413,3795,3881,3881,4679500000,15,Extreme Fear
2018-11-25,3881,4121,3585,4010,4010,6825640000,9,Extreme Fear
2018-11-26,4015,4107,3644,3779,3779,6476900000,17,Extreme Fear
2018-11-27,3766,3863,3661,3821,3821,5998720000,11,Extreme Fear
2018-11-28,3822,4386,3822,4257,4257,7280280000,14,Extreme Fear
2018-11-29,4269,4413,4146,4279,4279,6503347767,18,Extreme Fear
2018-11-30,4289,4323,3943,4017,4017,6048016717,19,Extreme Fear
2018-12-01,4024,4309,3970,4215,4215,5375314093,13,Extreme Fear
2018-12-02,4201,4302,4111,4140,4140,5262697895,15,Extreme Fear
2018-12-03,4147,4156,3840,3894,3894,5089570994,17,Extreme Fear
2018-12-04,3886,4076,3833,3957,3957,5028069239,12,Extreme Fear
2018-12-05,3959,3970,3754,3754,3754,5302481574,19,Extreme Fear
2018-12-06,3754,3875,3521,3521,3521,5878333109,13,Extreme Fear
2018-12-07,3513,3513,3280,3420,3420,6835615448,11,Extreme Fear
2018-12-08,3422,3506,3351,3476,3476,5305024497,11,Extreme Fear
2018-12-09,3473,3685,3469,3614,3614,4947372847,14,Extreme Fear
2018-12-10,3612,3647,3470,3503,3503,5020968740,19,Extreme Fear
2018-12-11,3498,3513,3392,3425,3425,4696765188,15,Extreme Fear
2018-12-12,3421,3534,3413,3487,3487,4139364829,14,Extreme Fear
2018-12-13,3488,3490,3298,3314,3314,4343372456,14,Extreme Fear
2018-12-14,3312,3330,3207,3242,3242,4372763663,10,Extreme Fear
2018-12-15,3244,3275,3191,3237,3237,3551763561,11,Extreme Fear
2018-12-16,3236,3306,3234,3253,3253,3744248994,13,Extreme Fear
2018-12-17,3253,3598,3253,3546,3546,5409247918,17,Extreme Fear
2018-12-18,3545,3701,3487,3696,3696,5911325473,23,Extreme Fear
2018-12-19,3707,3949,3687,3746,3746,6810689119,21,Extreme Fear
2018-12-20,3742,4191,3729,4134,4134,8927129279,27,Fear
2018-12-21,4134,4198,3851,3897,3897,7206015706,35,Fear
2018-12-22,3898,4014,3856,4014,4014,5605823233,28,Fear
2018-12-23,4021,4086,3976,3999,3999,6151275490,31,Fear
2018-12-24,4000,4272,4000,4079,4079,7240968501,25,Extreme Fear
2018-12-25,4081,4090,3760,3815,3815,6158207293,33,Fear
2018-12-26,3820,3893,3770,3857,3857,5326547918,26,Fear
2018-12-27,3855,3874,3645,3655,3655,5130222366,29,Fear
2018-12-28,3653,3956,3643,3924,3924,5631554348,21,Extreme Fear
2018-12-29,3932,3964,3820,3820,3820,4991655917,24,Extreme Fear
2018-12-30,3822,3902,3797,3866,3866,4770578575,23,Extreme Fear
2018-12-31,3867,3869,3726,3743,3743,4661840806,26,Fear
2019-01-01,3747,3851,3707,3844,3844,4324200990,24,Extreme Fear
2019-01-02,3849,3948,3817,3943,3943,5244856836,30,Fear
2019-01-03,3931,3936,3826,3837,3837,4530215219,33,Fear
2019-01-04,3832,3866,3784,3858,3858,4847965467,48,Neutral
2019-01-05,3852,3905,3837,3845,3845,5137609824,36,Fear
2019-01-06,3837,4093,3827,4077,4077,5597027440,31,Fear
2019-01-07,4079,4093,4021,4025,4025,5228625637,39,Fear
2019-01-08,4028,4109,3997,4031,4031,5306593305,39,Fear
2019-01-09,4032,4068,4023,4035,4035,5115905225,42,Fear
2019-01-10,4034,4064,3659,3679,3679,6874143796,37,Fear
2019-01-11,3674,3714,3653,3687,3687,5538712865,19,Extreme Fear
2019-01-12,3687,3699,3654,3661,3661,4778170883,22,Extreme Fear
2019-01-13,3659,3675,3545,3553,3553,4681302466,21,Extreme Fear
2019-01-14,3557,3728,3552,3706,3706,5651384490,16,Extreme Fear
2019-01-15,3704,3720,3620,3631,3631,5537192302,27,Fear
2019-01-16,3632,3686,3625,3655,3655,5394457145,24,Extreme Fear
2019-01-17,3652,3680,3622,3679,3679,5464420383,28,Fear
2019-01-18,3678,3683,3637,3658,3658,5002961727,29,Fear
2019-01-19,3652,3759,3652,3729,3729,5955691380,31,Fear
2019-01-20,3725,3743,3583,3601,3601,5582489560,35,Fear
2019-01-21,3600,3609,3559,3576,3576,5004347059,30,Fear
2019-01-22,3575,3621,3540,3605,3605,5313623556,27,Fear
2019-01-23,3606,3623,3565,3585,3585,5433755649,33,Fear
2019-01-24,3585,3616,3569,3601,3601,5262869046,37,Fear
2019-01-25,3607,3613,3576,3600,3600,5265847539,35,Fear
2019-01-26,3600,3655,3593,3602,3602,5098183235,41,Fear
2019-01-27,3605,3613,3567,3584,3584,5570752966,39,Fear
2019-01-28,3584,3587,3439,3470,3470,6908930483,35,Fear
2019-01-29,3469,3476,3401,3448,3448,5897159493,21,Extreme Fear
2019-01-30,3444,3495,3429,3486,3486,5955112627,22,Extreme Fear
2019-01-31,3485,3505,3448,3458,3458,5831198271,17,Extreme Fear
2019-02-01,3461,3502,3432,3488,3488,5422926707,23,Extreme Fear
2019-02-02,3485,3523,3468,3521,3521,5071623601,22,Extreme Fear
2019-02-03,3516,3521,3448,3464,3464,5043937584,19,Extreme Fear
2019-02-04,3467,3476,3443,3459,3459,5332718886,27,Fear
2019-02-05,3455,3478,3452,3466,3466,5227549545,21,Extreme Fear
2019-02-06,3469,3469,3399,3414,3414,5482196038,14,Extreme Fear
2019-02-07,3415,3428,3394,3399,3399,5004962683,18,Extreme Fear
2019-02-08,3401,3696,3391,3667,3667,7735623101,37,Fear
2019-02-09,3672,3680,3647,3671,3671,6158833645,42,Fear
2019-02-10,3673,3695,3641,3690,3690,6282256903,40,Fear
2019-02-11,3696,3696,3642,3648,3648,6277056434,46,Fear
2019-02-12,3643,3669,3619,3654,3654,6480384532,38,Fear
2019-02-13,3654,3670,3617,3632,3632,6438903823,48,Neutral
2019-02-14,3631,3646,3608,3617,3617,6271044418,48,Neutral
2019-02-15,3617,3648,3608,3621,3621,6091952231,43,Fear
2019-02-16,3615,3653,3615,3630,3630,5934744052,43,Fear
2019-02-17,3633,3681,3619,3674,3674,7039512503,38,Fear
2019-02-18,3671,3937,3670,3916,3916,9908216640,63,Greed
2019-02-19,3912,4011,3908,3947,3947,9933626655,65,Greed
2019-02-20,3947,4000,3926,4000,4000,8693373948,59,Greed
2019-02-21,4000,4010,3940,3954,3954,7775128102,59,Greed
2019-02-22,3952,4007,3951,4006,4006,7826525254,61,Greed
2019-02-23,3999,4166,3969,4143,4143,8922258316,63,Greed
2019-02-24,4145,4211,3794,3810,3810,10794227451,69,Greed
2019-02-25,3807,3914,3807,3883,3883,9318796067,47,Neutral
2019-02-26,3879,3892,3838,3854,3854,7931218996,40,Fear
2019-02-27,3857,3889,3787,3851,3851,8301309684,39,Fear
2019-02-28,3848,3906,3846,3855,3855,8399767798,39,Fear
2019-03-01,3854,3908,3852,3860,3860,7661247975,42,Fear
2019-03-02,3855,3875,3832,3864,3864,7578786076,41,Fear
2019-03-03,3862,3875,3837,3847,3847,7253558152,44,Fear
2019-03-04,3845,3867,3734,3762,3762,9029175788,36,Fear
2019-03-05,3760,3904,3745,3896,3896,10174126415,35,Fear
2019-03-06,3897,3920,3871,3904,3904,9175291529,42,Fear
2019-03-07,3903,3939,3894,3911,3911,9584165519,56,Greed
2019-03-08,3913,3950,3875,3901,3901,10638638944,54,Neutral
2019-03-09,3895,3987,3892,3963,3963,10796103518,55,Greed
